"anon_sname","age_first_birth","cumulative_adversity","pop_growth_two_years","group_size","lifespan_years","ibi_years","lrs","rain_first_year"
101,6.524298426,NA,0.000735971,14,13.45106092,2.08046707203797,4,377.5
102,6.132785763,NA,0.00132681,23,8.490075291,NA,3,330.8
103,5.029431896,1,0.000261327,12,23.14579055,1.55247570751414,11,326.2
105,7.742642026,2,0.0008677,13,12.73648186,NA,4,348.9
107,5.382614648,NA,0.000640556,13,16.64887064,1.7101135184492,7,537.9
108,6.061601643,0,0.001035343,13,NA,NA,NA,311.2
109,5.84257358,0,0.001155698,17,NA,NA,NA,270.4
110,5.850787132,1,0.001214078,14,NA,NA,NA,191.2
111,5.629021218,1,0.000986258,23,13.25393566,1.51296776673013,6,347.6
112,6.05065024,0,0.001145038,10,18.39561944,1.60947425884861,8,360.4
113,7.249828884,2,0.001268392,12,17.14715948,2.53840555931111,6,389.8
115,5.716632444,1,0.001477441,13,20.75564682,1.59067602427065,10,265.5
117,6.357289528,1,0.001138635,26,NA,NA,NA,448.2
118,5.661875428,1,0.000606462,15,NA,NA,NA,126
119,6.390143737,1,0.001073053,21,10.5982204,1.89185489434782,2,296.9
120,6.442162902,1,0.000797777,9,NA,NA,NA,192
121,6.042436687,0,0.000589038,12,12.30937714,1.61295929521034,4,249.8
122,5.864476386,0,0.001100153,19,25.16084873,1.52710628615546,11,219.8
123,5.952087611,NA,0.00153406,19,17.08966461,2.27015256019458,6,343.3
124,7.154004107,1,0.000789863,10,10.92950034,NA,2,347.9
125,5.84257358,3,0.000756408,11,NA,NA,NA,91.7
126,7.405886379,1,0.001233139,13,NA,NA,NA,337
127,6.458590007,2,0.000900114,18,NA,NA,NA,219.5
128,5.316906229,1,0.001136073,16,NA,NA,NA,218.5
129,5.768651608,1,0.001179763,10,NA,NA,NA,540.1
130,5.979466119,0,0.000586059,15,NA,NA,NA,504.8
132,5.486652977,2,0.001258059,10,19.35660507,1.77880935422646,9,767
133,6.173853525,0,0.001300636,29,NA,NA,NA,346
134,5.169062286,NA,0.000736038,14,15.72621492,1.86167424090295,6,377.5
135,5.029431896,1,0.000943928,13,NA,NA,NA,371.7
136,6.29705681,1,0.001062964,28,NA,NA,NA,517.9
137,6.32991102,1,0.001318756,23,6.507871321,NA,1,164.8
138,6.006844627,2,0.000931572,26,NA,NA,NA,380.1
139,6.113620808,1,0.001123596,23,25.28131417,1.76394179034446,8,358.6
140,6.940451745,0,0.00102051,25,NA,NA,NA,461.3
141,5.943874059,0,0.001191059,30,NA,NA,NA,294.7
142,6.004106776,2,0.001065371,20,NA,NA,NA,543.8
143,5.897330595,3,0.000615732,27,NA,NA,NA,275.2
144,5.423682409,2,0.00095816,4,NA,NA,NA,412.3
145,5.481177276,3,0.000949536,29,9.631759069,2.26420260090461,2,334.7
146,6.067077344,1,0.001050882,25,NA,NA,NA,221.6
147,5.924709103,2,0.00104412,28,NA,NA,NA,380.1
148,6.368240931,2,0.001122608,14,NA,NA,NA,221.6
149,7.290896646,2,0.001069009,24,NA,NA,NA,390.3
150,6.507871321,2,0.000684082,18,NA,NA,NA,145.5
151,5.771389459,3,0.000901765,16,NA,NA,NA,179.3
152,6.0862423,NA,0.000847139,16,17.92197125,2.05230099108929,7,NA
153,7.550992471,0,0.001122608,23,13.51950719,2.23682409340008,4,221.6
154,5.637234771,3,0.001674147,9,14.30527036,1.76581430459863,6,172.9
155,5.960301164,NA,0.001468042,12,9.623545517,2.05338809131344,2,424.5
156,5.754962355,1,0.001124965,9,8.955509925,2.11909651010965,2,150.9
157,6.39835729,2,0.001204619,20,NA,NA,NA,308.9
158,5.697467488,1,0.00017155,12,21.69472964,1.84617933337491,10,412.6
159,6.349075975,2,0.00118992,16,NA,NA,NA,340.7
160,6.039698836,NA,0.000854539,14,11.90417522,2.31622176682583,3,NA
161,6.896646133,3,0.000728436,22,NA,NA,NA,145.5
162,5.995893224,3,0.001207389,19,NA,NA,NA,294.5
163,5.845311431,1,0.000946413,22,12.30937714,2.01031343227461,5,378.8
164,7.06091718,0,0.001001592,23,NA,NA,NA,547.3
165,7.446954141,1,0.000591858,20,NA,NA,NA,115.6
166,6.737850787,0,0.001068467,22,9.993155373,NA,2,291.3
167,6.023271732,NA,0.001286788,19,18.36824093,1.99235838149433,7,341.8
168,6.047912389,1,0.000168039,12,21.81519507,2.09072601105965,8,358.8
169,6.603696099,0,0.000956342,14,NA,NA,NA,412.3
170,6.606433949,1,0.00099798,14,NA,NA,NA,151.4
171,7.978097194,NA,0.001056542,21,14.04517454,NA,4,262.6
172,6.417522245,3,0.001038709,21,NA,NA,NA,218.8
173,5.722108145,2,0.001283752,24,18.49691992,2.30282056536162,6,226.3
174,7.657768652,1,0.001303397,21,17.07049966,2.62833675443284,7,245.3
175,6.291581109,2,0.001332807,19,NA,NA,NA,262.5
176,5.363449692,2,0.000954557,5,NA,NA,NA,230.6
177,5.486652977,2,0.001153883,7,8.97467488,1.92744695383638,2,222.1
178,5.730321697,NA,0.001031899,9,7.241615332,NA,1,338.2
180,6.625598905,NA,0.001659605,14,16.07665982,1.92452716571691,6,208.4
181,6.729637235,2,0.001324277,6,21.54688569,1.37644460630669,11,158.9
182,5.765913758,2,0.001136769,10,8.254620123,2.05065024055196,2,423.5
184,7.54825462,2,0.001095181,10,10.10540726,NA,1,456.1
185,6.98973306,NA,0.001556572,19,18.12457221,1.75789207636356,7,NA
186,6.0862423,1,0.001032753,9,8.177960301,NA,1,221
187,5.919233402,NA,0.00166066,13,12.5338809,1.39173333568569,5,208.4
188,7.509924709,1,0.00105387,10,11.51540041,NA,2,221.6
189,6.929500342,1,0.001154148,29,NA,NA,NA,501.7
190,6.99247091,1,0.001117069,10,NA,NA,NA,359.4
192,5.87816564,NA,0.001181408,11,NA,NA,NA,473
193,5.94661191,0,0.001178122,21,NA,NA,NA,337
194,5.889117043,2,0.001283427,30,6.759753593,NA,1,346
195,7.066392882,NA,0.000479962,20,11.75359343,1.87822550421493,3,277.2
196,6.735112936,NA,0.000742656,2,NA,NA,NA,145.5
197,5.267624914,1,0.001122164,10,NA,NA,NA,453.1
198,5.84257358,1,0.001026096,23,NA,NA,NA,211.8
199,5.388090349,1,0.001466432,16,NA,NA,NA,718.8
201,7.011635866,NA,0.001252819,21,NA,NA,NA,179.6
202,5.511293634,NA,0.00153406,19,22.4202601,1.60265002755422,12,343.3
203,6.461327858,3,0.001585963,12,7.282683094,NA,1,462.7
204,5.856262834,2,0.001326544,23,6.116358658,NA,1,159.7
205,6.562628337,1,0.001111814,22,NA,NA,NA,261.4
206,7.657768652,2,0.001269378,13,NA,NA,NA,255.3
207,5.686516085,1,0.001186829,14,NA,NA,NA,279.9
208,6.291581109,0,0.001048699,21,18.05886379,1.66861297488941,8,268.6
209,5.900068446,1,0.001051419,20,NA,NA,NA,359.7
210,6.858316222,2,0.000712809,15,8.791238877,NA,1,145.5
211,5.787816564,1,0.001187484,21,NA,NA,NA,279.9
212,6.833675565,2,0.000756408,18,9.382614648,2.23408624237998,2,91.7
213,5.886379192,0,0.000814018,22,9.278576318,2.09171800102061,2,415.5
214,6.031485284,1,0.001196156,21,NA,NA,NA,275.6
215,6.15742642,2,0.000950947,22,NA,NA,NA,337.9
216,5.722108145,1,0.001025968,10,NA,NA,NA,211.8
217,6.64202601,3,0.001238475,21,NA,NA,NA,262.5
218,5.593429158,NA,0.000840179,18,14.91854894,1.7137723054151,6,NA
219,6.075290897,NA,0.00133824,24,11.37850787,NA,4,268.8
220,6.072553046,NA,0.000474383,17,6.814510609,NA,1,504.8
221,6.590006845,2,0.000944335,21,14.11909651,2.22854999687971,4,424.3
222,7.118412047,NA,0.000661845,17,10.9705681,NA,3,342.4
223,5.905544148,NA,0.001531457,18,19.86858316,1.71389459257314,8,459.7
224,6.228610541,1,0.00093056,2,NA,NA,NA,364.5
225,5.440109514,NA,0.00122913,12,16.40520192,1.44693077098273,8,542.5
226,5.106091718,0,0.001122822,11,7.474332649,NA,3,286.4
227,6.475017112,NA,0.00051969,19,11.00616016,1.66263075880739,3,277.2
228,5.735797399,NA,0.001344181,11,NA,NA,NA,423.5
229,7.071868583,1,0.00102591,23,NA,NA,NA,180.2
230,5.752224504,NA,0.001141444,19,NA,NA,NA,216.3
231,5.768651608,NA,0.001679749,16,8.454483231,1.89733059512224,2,390.4
232,5.976728268,NA,0.001331392,18,NA,NA,NA,238.9
233,5.544147844,NA,NA,16,15.06913073,1.83922950450347,6,NA
234,6.483230664,NA,0.001004319,15,8.73100616,NA,2,NA
235,6.264202601,NA,0.000774793,18,11.78644764,2.03832945214279,4,NA
236,5.133470226,1,0.000993246,10,NA,NA,NA,380.7
237,5.689253936,NA,0.000526531,12,6.836413415,NA,1,277.2
238,7.575633128,3,0.000930849,2,NA,NA,NA,371.5
239,5.828884326,NA,0.001162453,16,6.154688569,NA,1,257.1
240,5.856262834,0,0.001069064,15,NA,NA,NA,322.1
241,5.971252567,3,0.000846971,15,NA,NA,NA,381.1
242,5.404517454,1,0.001161199,20,NA,NA,NA,296.9
243,5.954825462,1,0.001060883,15,NA,NA,NA,321
244,6.636550308,2,0.001094077,15,NA,NA,NA,265.7
245,5.620807666,NA,0.000844812,10,13.47570157,1.71183154517641,5,349.8
246,6.406570842,0,0.00104323,15,NA,NA,NA,436.8
247,5.538672142,NA,0.001180638,11,22.23134839,1.55046897761304,12,473
248,5.626283368,3,0.001108688,9,7.898699521,NA,2,358.2
249,6.299794661,NA,0.001138616,18,14.04517454,1.92744695383638,5,177.8
250,6.143737166,0,0.001160916,22,NA,NA,NA,263.2
251,5.456536619,NA,0.000619502,14,23.71800137,1.51234249712636,14,415
252,6.565366188,1,0.001233449,17,18.9650924,1.79573198763395,7,337
253,7.400410678,0,0.001038343,15,19.69609856,2.15714018574662,6,337
254,5.01026694,NA,0.001353867,8,25.89185489,1.62033563254581,13,317.4
255,5.744010951,NA,0.000177148,9,10.88843258,1.39630390183061,4,500
256,5.817932923,2,0.001029458,8,23.91786448,1.77693940568263,9,228
257,5.98220397,NA,0.000737531,19,21.5578371,1.56597995658198,11,377
258,6.491444216,0,0.001312838,13,NA,NA,NA,645
259,5.921971253,2,0.001196121,6,NA,NA,NA,290.7
260,7.44421629,2,0.000858311,8,NA,NA,NA,373.5
261,5.360711841,2,0.001143184,9,18.5982204,1.56508946950247,9,354.4
262,5.730321697,NA,0.000513988,10,15.59753593,1.70223785617182,7,503
263,5.98220397,0,0.001479648,12,21.5742642,2.10112705447634,9,719.4
265,5.968514716,2,0.001263719,22,NA,NA,NA,262.5
266,5.697467488,2,0.001283752,23,10.75975359,1.31690622847126,4,194.9
267,6.105407255,1,0.000296199,12,22.02874743,1.80418479991139,9,326.2
268,6.661190965,1,0.001469037,9,14.37645448,1.53909173561761,5,421.7
269,6.29431896,1,0.00115591,15,NA,NA,NA,195.2
270,4.750171116,2,0.00097785,23,9.609856263,1.27310061654176,4,277
271,5.040383299,0,0.001657498,9,NA,NA,NA,208.4
272,5.593429158,1,0.000861052,29,NA,NA,NA,306.3
273,5.754962355,0,0.000988598,23,21.7412731,1.76497281565099,9,367.2
275,5.295003422,0,0.00106447,21,NA,NA,NA,229.6
276,5.336071184,NA,0.001486805,19,19.60574949,1.66503805723468,9,423
277,5.35797399,0,0.001064597,23,24.02190281,1.55168549828594,12,363.6
278,5.869952088,1,0.001188363,26,NA,NA,NA,549.7
279,5.382614648,0,0.001141444,16,NA,NA,NA,216.3
280,7.310061602,NA,0.000823346,19,13.09514031,1.71215624193729,4,342.6
281,5.481177276,1,0.00101973,27,5.486652977,NA,1,272.5
282,6.636550308,1,0.001177462,18,NA,NA,NA,263.7
283,5.987679671,0,0.001108792,17,NA,NA,NA,261.4
284,5.856262834,2,0.001064356,14,NA,NA,NA,228.8
285,5.420944559,2,0.001035273,22,NA,NA,NA,221
