"anon_sname","age_first_birth","cumulative_adversity_three_plus","pop_growth_two_years","group_size_females_first_birth"
189,6.929500342,1,0.001154148,29
190,6.99247091,1,0.001117069,10
192,5.87816564,NA,0.001181408,11
193,5.94661191,0,0.001178122,21
194,5.889117043,2,0.001283427,30
195,7.066392882,NA,0.000479962,20
196,6.735112936,NA,0.000742656,2
197,5.267624914,1,0.001122164,10
198,5.84257358,1,0.001026096,23
199,5.388090349,1,0.001466432,16
201,7.011635866,NA,0.001252819,21
202,5.511293634,NA,0.00153406,19
203,6.461327858,3,0.001585963,12
204,5.856262834,2,0.001326544,23
205,6.562628337,1,0.001111814,22
206,7.657768652,2,0.001269378,13
207,5.686516085,1,0.001186829,14
208,6.291581109,0,0.001048699,21
209,5.900068446,1,0.001051419,20
210,6.858316222,2,0.000712809,15
211,5.787816564,1,0.001187484,21
212,6.833675565,2,0.000756408,18
213,5.886379192,0,0.000814018,22
214,6.031485284,1,0.001196156,21
215,6.15742642,2,0.000950947,22
216,5.722108145,1,0.001025968,10
217,6.64202601,3,0.001238475,21
218,5.593429158,NA,0.000840179,18
219,6.075290897,NA,0.00133824,24
220,6.072553046,NA,0.000474383,17
221,6.590006845,2,0.000944335,21
222,7.118412047,NA,0.000661845,17
223,5.905544148,NA,0.001531457,18
224,6.228610541,1,0.00093056,2
225,5.440109514,NA,0.00122913,12
226,5.106091718,0,0.001122822,11
227,6.475017112,NA,0.00051969,19
228,5.735797399,NA,0.001344181,11
229,7.071868583,1,0.00102591,23
230,5.752224504,NA,0.001141444,19
231,5.768651608,NA,0.001679749,16
232,5.976728268,NA,0.001331392,18
233,5.544147844,NA,NA,16
234,6.483230664,NA,0.001004319,15
235,6.264202601,NA,0.000774793,18
236,5.133470226,1,0.000993246,10
237,5.689253936,NA,0.000526531,12
238,7.575633128,3,0.000930849,2
239,5.828884326,NA,0.001162453,16
240,5.856262834,0,0.001069064,15
241,5.971252567,3,0.000846971,15
242,5.404517454,1,0.001161199,20
243,5.954825462,1,0.001060883,15
244,6.636550308,2,0.001094077,15
245,5.620807666,NA,0.000844812,10
246,6.406570842,0,0.00104323,15
247,5.538672142,NA,0.001180638,11
248,5.626283368,3,0.001108688,9
249,6.299794661,NA,0.001138616,18
250,6.143737166,0,0.001160916,22
251,5.456536619,NA,0.000619502,14
252,6.565366188,1,0.001233449,17
253,7.400410678,0,0.001038343,15
254,5.01026694,NA,0.001353867,8
255,5.744010951,NA,0.000177148,9
256,5.817932923,2,0.001029458,8
257,5.98220397,NA,0.000737531,19
258,6.491444216,0,0.001312838,13
259,5.921971253,2,0.001196121,6
260,7.44421629,2,0.000858311,8
261,5.360711841,2,0.001143184,9
262,5.730321697,NA,0.000513988,10
263,5.98220397,0,0.001479648,12
265,5.968514716,2,0.001263719,22
266,5.697467488,2,0.001283752,23
267,6.105407255,1,0.000296199,12
268,6.661190965,1,0.001469037,9
269,6.29431896,1,0.00115591,15
270,4.750171116,2,0.00097785,23
271,5.040383299,0,0.001657498,9
272,5.593429158,1,0.000861052,29
273,5.754962355,0,0.000988598,23
275,5.295003422,0,0.00106447,21
276,5.336071184,NA,0.001486805,19
277,5.35797399,0,0.001064597,23
278,5.869952088,1,0.001188363,26
279,5.382614648,0,0.001141444,16
280,7.310061602,NA,0.000823346,19
281,5.481177276,1,0.00101973,27
282,6.636550308,1,0.001177462,18
283,5.987679671,0,0.001108792,17
284,5.856262834,2,0.001064356,14
285,5.420944559,2,0.001035273,22
286,6.937713895,1,0.000906469,3
287,6.839151266,0,0.000917782,23
289,5.505817933,3,0.001682521,13
290,5.514031485,0,0.001251408,17
291,6.247775496,2,0.001054656,29
293,6.042436687,1,0.001177604,19
294,6.351813826,2,0.000734178,30
295,7.225188227,2,0.000742316,4
296,6.280629706,1,0.001054271,25
297,6.286105407,0,0.00110333,19
298,6.600958248,2,0.001210081,20
299,6.934976044,2,0.000928001,19
300,6.151950719,1,0.000934671,22
301,5.571526352,1,0.001084931,16
302,5.708418891,1,0.000950541,20
